t_s,x_px,y_px
0.000000,427.875000,363.875000
0.033000,419.500000,366.500000
0.066000,409.500000,370.500000
0.099000,397.761902,375.142853
0.132000,385.500000,377.500000
0.165000,363.097565,384.048767
0.198000,354.838989,385.601685
0.231000,337.500000,389.500000
0.264000,319.653839,392.500000
0.297000,300.997162,394.228821
0.330000,291.500000,395.500000
0.363000,262.500000,395.966675
0.396000,234.681824,395.500000
0.429000,216.500000,393.653839
0.462000,199.125000,391.875000
0.495000,182.500000,388.500000
0.528000,167.601700,386.161011
0.561000,154.807693,382.807678
0.594000,142.500000,379.500000
0.627000,137.500000,378.500000
0.660000,128.500000,376.136353
0.693000,118.500000,372.500000
0.726000,113.964287,371.035706
0.759000,112.685188,370.314819
0.792000,113.035713,371.964294
0.825000,114.500000,372.500000
0.858000,118.892860,374.107147
0.891000,124.500000,376.500000
0.924000,132.500000,378.500000
0.957000,142.500000,382.500000
0.990000,148.500000,384.500000
1.023000,161.192307,387.807678
1.056000,176.500000,391.500000
1.089000,192.500000,394.500000
1.122000,200.500000,395.500000
1.155000,218.500000,398.500000
1.188000,236.500000,398.500000
1.221000,255.800003,399.799988
1.254000,265.405762,400.112579
1.287000,294.500000,399.500000
1.320000,312.500000,396.500000
1.353000,331.035706,393.964294
1.386000,348.500000,390.500000
1.419000,364.500000,386.500000
1.452000,372.243835,384.578827
1.485000,392.500000,378.500000
1.518000,404.500000,374.500000
1.551000,413.921051,369.921051
1.584000,421.974884,367.280823
1.617000,426.863647,364.500000
1.650000,430.500000,362.500000
1.683000,433.200012,361.200012
1.716000,433.887848,360.682251
1.749000,432.500000,360.500000
1.782000,429.013824,362.162994
1.815000,422.863647,364.500000
1.848000,416.500000,366.500000
1.881000,406.863647,370.500000
1.914000,396.500000,374.500000
1.947000,383.799988,377.799988
1.980000,377.500000,379.500000
2.013000,354.500000,385.500000
2.046000,338.500000,388.500000
2.079000,321.500000,391.500000
2.112000,303.035706,393.964294
2.145000,294.136353,394.500000
2.178000,274.731537,395.613312
2.211000,247.500000,395.500000
2.244000,229.964279,395.035706
2.277000,211.964279,393.035706
2.310000,203.500000,392.366669
2.343000,179.500000,388.500000
2.376000,166.500000,386.500000
2.409000,153.208160,382.594421
2.442000,141.943665,380.704224
2.475000,132.892853,378.107147
2.508000,126.892860,376.107147
2.541000,120.892860,374.107147
2.574000,117.500000,373.500000
2.607000,116.500000,373.000000
2.640000,117.120689,373.879303
2.673000,117.500000,374.500000
2.706000,123.233330,376.500000
2.739000,130.500000,379.500000
2.772000,139.500000,382.500000
2.805000,150.361710,386.319153
2.838000,162.500000,389.500000
2.871000,176.500000,391.500000
2.904000,192.500000,395.500000
2.937000,208.840576,397.739136
2.970000,226.107147,398.892853
3.003000,244.500000,400.500000
3.036000,262.578827,400.243835
3.069000,281.117523,400.366364
3.102000,300.500000,398.500000
3.135000,318.500000,396.500000
3.168000,336.291473,393.177734
3.201000,352.012329,389.421173
3.234000,367.035706,385.964294
3.267000,381.500000,381.500000
3.300000,393.500000,377.323517
3.333000,403.500000,373.500000
3.366000,412.500000,370.500000
3.399000,418.500000,366.500000
3.432000,424.500000,364.500000
3.465000,427.500000,362.966675
3.498000,428.500000,362.500000
3.531000,428.500000,362.500000
3.564000,426.500000,362.500000
3.597000,423.053650,363.705994
3.630000,417.029419,365.500000
3.663000,408.500000,368.500000
3.696000,398.756165,372.421173
3.729000,388.500000,376.500000
3.762000,375.979248,379.426270
3.795000,362.500000,382.500000
3.828000,346.500000,386.500000
3.861000,330.500000,390.136353
